Character,Race,Gender,Elemental Affinity,Authority,Height,Afiliation,Divine Protection,Age,Priority
Subaru Natsuki,Human,Male,"Yin, Water, Wind",Yes,173cm,Emilia Camp,No,17,T
Emilia,"Human, Elf",Female,"Fire, Water, Wind, Earth",No,164cm,Emilia Camp,No,114,T
Rem,Oni,Female,Water,No,154cm,Emilia Camp,No,18,T
Beatrice,Spirit,Female,"Yin, Water, Wind",No,130cm,Emilia Camp,No,400+,T
Ram,Oni,Female,Wind,No,154cm,Emilia Camp,No,18,T
Roswaal L Mathers,Human,Male,"Fire, Wind, Water, Earth, Yin, Yang",No,186cm,Emilia Camp,No,400+,T
Puck,Spirit,Male,Fire,No,9cm,Emilia Camp,No,400+,T
Garfiel Tinsel,"Human, Beast",Male,Earth,No ,160cm,Emilia Camp,Yes,14,T
Otto Suwen,Human,Male,Earth,No,177cm,Emilia Camp,Yes,20,T
Frederica Baumann,"Human, Beast",Female,Wind,No,180cm,Emilia Camp,No,20,T
Petra Leyte,Human,Female,Yang,No,140cm,Emilia Camp,No,12,T
Ryuzu,"Human, Elf",Female,N/A,No,135cm,Emilia Camp,No,400+,T
Annarose Miload,Human,Female,N/A,No,135cm,Emilia Camp,No,9,F
Clind,Unknown,Male,N/A,Yes,178cm,Emilia Camp,No,400+,T
Meili Portroute,Human,Female,N/A,No,145cm,Emilia Camp,Yes,13,T
Patrasche,Ground Dragon,Female,NA,No,Unknown,Emilia Camp,Yes,Unknown,T
Frufoo,Ground Dragon,Female,N/A,No,Unknown,Emilia Camp,Yes,23,F
Crusch Karsten,Human,Female,Wind,No,168cm,Crusch Camp,Yes,20,T
Felix Argyle,"Human, Beast",Male,Water,No,172cm,Crusch Camp,Yes,19,T
Wilhelm van Astrea,Human,Male,N/A,No,178cm,Crusch Camp,No,61,T
Priscilla Barielle,Human,Female,Yang,No,164cm,Priscilla Camp,Yes,19,T
Aldebaran,Human,Male,Earth,Yes,173cm,Priscilla Camp,No,40,T
Schult,Human,Male,N/A,No,130cm,Priscilla Camp,No,11,F
Heinkel Astrea,Human,Male,N/A,No,185cm,Priscilla Camp,No,39,T
Anastasia Hoshin,Human,Female,Yang,No,155cm,Anastasia Camp,No,22,T
Julius Juukulius,Human,Male,"Fire, Wind, Water, Earth, Yin, Yang",No,179cm,Anastasia Camp,Yes,21,T
Joshua Juukulius,Human,Male,Water,No,173cm,Anastasia Camp,No,17,T
Ricardo Welkin,Demi-Human,Male,N/A,No,206cm,Anastasia Camp,No,39,T
Mimi Pearlbaton,"Human, Beast",Female,"Earth, Water",No,110cm,Anastasia Camp,Yes,14,T
Hetaro Pearlbaton,"Human, Beast",Male,Water,No,110cm,Anastasia Camp,Yes,14,T
Tivey Pearlbaton,"Human, Beast",Male,Fire,No,110cm,Anastasia Camp,Yes,14,T
Eridna,Spirit,Female,Yang,No,Unknown,Anastasia Camp,No,400+,T
Shaknar,Ground Dragon,Male,N/A,No,Unknown,Anastasia Camp,Yes,Unknown,F
Felt,Human,Female,N/A,No,150cm,Felt Camp,Yes,14,T
Reinhard van Astrea,Human,Male,N/A,No,184cm,Felt Camp,Yes,19,T
Valga Cromwell,Giant,Male,N/A,No,220cm,Felt Camp,No,120,T
Gaston,Human,Male,N/A,No,185cm,Felt Camp,No,25,F
Rachins Hoffman,Human,Male,Fire,No,175cm,Felt Camp,No,22,F
Camberley,Dwarf,Male,N/A,No,130cm,Felt Camp,Yes,23,F
Miklotov McMahon,Human,Male,N/A,No,160cm,Royal Capital,No,74,F
Bordeaux Zellgef,Human,Male,N/A,No,Unknown,Royal Capital,No,Unknown,F
Marcos Gildark,Human,Male,Earth,No,Unknown,Royal Capital,No,40,F
Russell Fellow,Human,Male,N/A,No ,180cm,Royal Capital,Yes,29,F
Kadomon Risch,Human,Male,N/A,No,Unknown,Royal Capital,No,Unknown,F
Grimm Fauzen,Human,Male,N/A,No,180cm,Royal Capital,No,63,T
Carol Remendis,Human,Female,N/A,No,164cm,Royal Capital,No,62,T
Kiritaka Muse,Human,Male,N/A,No,Unknown,Pristella,No,Late 20s,F
Reid Astrea,Human,Male,N/A,No,Unknown,Lugunica,No,400+,F
Theresia van Astrea,Human,Female,Yang,No,162cm,Lugunica,Yes,46,T
Volcanica,Dragon,Unknown,N/A,No,1500cm,Lugunica,No,1000+,F
Shaula,Demon Beast,Female,N/A,No,170cm,Pleiades Watchtower,No,400+,T
Melakuera,Spirit,Male,Fire,No,Unknown,Lugunica,No,400+,F
